Country (Name),ASFIS species (Name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Argentina,Molluscs excl. Cephalopods,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,,20,,3,E,3,,0,N,0,N,0,N,0,N,0,N,0,...,0,...,0,...,0,...,0,...,4,,30,,30,,75,,80,,184,,201,,142,,154,,235,E,231,E,223,E,368,E,90,,41.17,,12.8,,25,,22.2,,19.24,,11.6,,19.5,,8,,100.3,
Armenia,Crustaceans,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,,3,,3,E,3,E,12,,21,,20,E,20,E,20,E,30,E,30,,30,,30,E,30,E,20,E,0,...,0,...,0,...,0,...
Armenia,Freshwater and Diadromous Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2565,,2250,,1570,,1120,,650,,670,,437,,889,,893,,1331,,1020,,1044,,810,,736,E,1053,E,3638,,5079,,5220,E,4980,E,6280,E,8820,,11670,,13895,,15100,,16351,,16670,,17000,,17560,E,18350,E,18930,E
Aruba,Freshwater and Diadromous Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,0,...,0,,0,,0,,0,,0.5,E,1,E,1.5,E,1.5,E,1.5,E
Australia,Aquatic Animals NEI,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,412,,337,,480,,342.04,,1134.4,,941,,2065,,2273.48,,2137.12,,1892.38,,1550.31,,1851.62,,3535.95,,2840.72,,3644.58,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Australia,Crustaceans,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,,27,,21,,238,,470,,594,,813,,908,,1123,,1530,,1652,,1632,,1437,,1437,,2473,,2909,,2820,,3757,,3365,,3723,,3258,,3541,,3284,,3088,,3985,,5280,,3970,,4021.13,,3741.7,,3774,,5282.38,,4628.22,,4624.49,,4205.4,,4794.27,,6740.2,,6750,E
Australia,Crustaceans,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,5,,9,,13,,19,,204,,109,,135,,171,,209,,392,,336,,249,,304,,349,,372,,409,,423,,305,,564,,273,,296,,260,,299,,231,,203.9,,190.77,,182.03,,144.32,,140.89,,69.41,,79.03,,84.51,,149.25,,100.29,,73.14,,75.28,,40.6,
Australia,Crustaceans,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,5,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Australia,Freshwater and Diadromous Fish,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,44,,45,E,50,,50,E,66,E,60,E,79,E,247,,345,,419,,577,,458,,797,,802,,998,,882,,869,,969,,1194,,1782,,1525,,1783,,2257,,2773,,3466.8,,2966,,3627.97,,4352.47,,4473.3,,3559.55,,3439.83,,3771.6,,3542.11,,4113.95,,5668.43,,3364.67,,3427.41,,7814.74,
Australia,Freshwater and Diadromous Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,E,141,E,273,E,400,E,524,E,643,E,758,E,870,E,978,E,951,,987,,597,,1032,,1453,,1380,,1219,,1397,,1871,,1686,,1789,,1771,,1937,,2303,,2330,,1958,,2210,,2265,,2307,,620,,614,,806,,795,,665,,495.2,,1061.3,,1138.18,,1001.56,,910.7,,988.73,,565.96,,597.28,,586.07,,564.71,,812.04,,871.52,,818.16,,937,
