Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Bahrain,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,,0,...,54,,25,,12,,9,,1,,6,,176,,0,...,68,,777,,878,,517,,553,,139,,144,,0,...,2383,,0,...,0,...,0,...
Bangladesh,All,Exports,Tonnes – net product weight,TPW,3902,,3621,,2838,,4864,,9657,,7946,,9393,,14465,,20717,,27056,,24733,,26357,,27076,,25499,,31455,,29290,,32220,,31778,,40516,,40282,,39800,,45822,,30771,,28531,,38559,,40789,,37518,,41311,,52926,,58399,,61560,,91002,,87439,,67036,,80577,,88807,E,54383,,74529,,73906,,54482,,73223,E,60939,E,66333.4,E,74247.9,E,67580.34,E,65598.32,E
Bangladesh,All,Imports,Tonnes – net product weight,TPW,0,...,203,,20,E,110,,55,E,13,E,23,,0,...,0,...,0,...,2,,4,,10,E,11,,2,,17,,60,E,51,E,388,,1148,,2902,,768,,1962,,2265,E,2347,E,4021,,8907,,3909,,4807,,3402,,4464,,9146,,8577,,14850,,31663,,23697,,31564,,68251,,100517,E,154254,,124934,E,123657,E,142051,E,155303.88,E,143024.01,E,131412.89,E
Barbados,All,Exports,Tonnes – net product weight,TPW,89,,190,,11,,7,,2,,12,,1,,27,,18,,13,,27,,25,E,105,,34,,12,,19,,43,,57,,88,,209,,116,,260,,251,,208,,280,,437,,282,,239,E,352,,522,,270,E,252,,212,,61,,104,E,134,,174,E,198,E,215,E,242,E,351,E,304,E,364,E,235.54,E,177.55,E,215.8,
Barbados,All,Imports,Tonnes – net product weight,TPW,1341,,1458,,1937,,1781,,1626,,2386,,2465,,1479,,1825,,2090,,1981,,2000,E,1832,,2600,,2275,,2388,,1844,,2101,,2302,,2686,,2688,,3263,,1888,,3170,,3810,,4353,,4826,,4903,,4469,,8281,,6651,,6374,,6066,,5603,,5426,,5978,,6173,,5172,,6020,,6364,,6304,,7605,,8254,,7627.41,,7382.77,,7934.61,
Barbados,All,Reexports,Tonnes – net product weight,TPW,15,,36,,28,,135,,21,,8,,6,,0,...,0,...,4,,0,...,0,...,0,...,20,,26,,17,,8,,3,,3,,11,,18,,19,,13,,16,,19,,19,,12,,0,...,0,...,4,,3,,0,N,0,...,5,,0,...,0,...,21,,20,,10,,10,,16,,8,,0,...,0,...,6.76,,2.43,
Belarus,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1868,E,1114,E,733,E,576,E,8826,,8844,,14106,,11604,,9723,,14157,,18007,,21402,,28670,,34558,,39075,,23079,,26552,,32833,,39644,,53493,,61883,,64718,,65870,,78952,,79580,,86330.64,,88172.1,,106687.66,
Belarus,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1197,E,8328,E,52656,,73540,,92676,,95239,,77746,,119410,,127490,,135193,,135748,,151968,,158349,,153946,,156002,,165981,,152938,,147626,,130579,,148960,,172368,,185763,,170067,,158544,,178929,,177238,,177000.86,,180171.45,,199613.92,
Belgium,All,Exports,Tonnes – net product weight,TPW,29945,,31847,,40974,,36145,,46185,,53833,,54841,,77343,,84127,,53740,,38944,,44677,,44465,,48553,,55482,,49770,,44754,,55393,,66649,,75715,,78598,,92240,,92923,,94272,,117685,,119660,,121941,,147015,,165706,,235952,,271200,,236571,,225910,,187503,,175295,,170340,,156496,,147774,,153373,,156882,,161620,,170214,,162537,,161036.4,,160674.41,,161365.57,
Belgium,All,Imports,Tonnes – net product weight,TPW,181545,,175898,,169163,,188743,,194609,,191491,,213929,,202635,,221207,,228660,,223612,,228094,,222672,,257554,,265281,,241981,,239826,,232180,,298683,,303354,,265158,,283503,,259298,,267919,,286845,,257941,,249734,,290483,,309553,,326862,,334634,,331796,,342921,,327693,,325281,,322558,,303178,,296933,,306636,,296252,,311353,,316027,,305784.6,,305833.18,,293369.77,,313506.35,
