Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Australia,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,353,,0,...,4940,,1408,,2602,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Austria,All,Exports,Value (USD 1000),USD (1000),1206,,1066,,1262,,1860,,1482,,1365,,1909,,1852,,1389,,1198,,2169,,1945,,2141,,2580,,2903,,3011,,5096,,4451,,5465,,17330,,12133,,10293,,8017,,11157,,9368,,8651,,20479,,33472,,44245,,20233,,18624,,29571,,40337,,46056,,52584,,81963,,93579,,100354,,88663,,76443,,80600,,81597,,93310,,96332.88,,102232.6,,121085.03,
Austria,All,Imports,Value (USD 1000),USD (1000),57458,,64636,,71068,,84995,,90752,,78381,,72840,,75398,,68617,,67300,,92894,,117705,,118424,,122139,,149861,,162902,,179612,,158913,,195343,,187810,,205253,,188547,,201246,,210272,,162213,,182542,,195774,,244759,,289218,,278919,,326590,,437731,,466496,,447649,,457480,,545492,,531582,,594639,,619461,,538695,,573626,,603151,,632973,,627855.36,,585128.93,,670427.06,
Azerbaijan,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,480,E,265,E,751,,1176,,856,,3850,,3711,,1366,,1422,,4169,,4755,,7276,,659,,5851,,5601,,5954,,1021,,226,,0,...,24,,0,...,23,,209,,454,,794,,930.46,,1403.62,,1603.79,
Azerbaijan,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,900,E,352,E,558,,523,,932,,846,,1444,,1314,,1961,,2142,,2336,,4827,,2917,,5808,,11168,,16057,,11411,,12197,,12768,,15842,,13421,,11106,,22835,,28340,,29139,,34102.36,,34478.06,,42006.19,
Bahamas,All,Exports,Value (USD 1000),USD (1000),5444,,8744,,6996,,8907,,11131,,12073,,13006,,14023,,15272,,19044,,19968,,22345,,29091,,22286,,45821,,54010,,53369,,47493,,60951,,59398,,57557,,61764,,61190,,102132,,109952,,73770,,91574,,108339,,87158,,78036,,95041,,84100,,82509,,65914,,74772,,76218,,82799,,92920,,70226,,63361,,41495.71,,84346.55,,81974.4,,83144.81,,66455.94,E,95293.98,E
Bahamas,All,Imports,Value (USD 1000),USD (1000),2091,,1625,,1625,E,665,E,4334,,2244,,3405,,3048,,3520,,4156,,4473,,4972,E,4221,,5922,,6287,,6541,,5889,,6093,,6433,,7662,,7510,E,8866,,9525,,10133,,14833,,13788,,14443,,13273,,14716,,16814,,18149,,17998,,21937,,20897,,20208,,22086,,26404,,22541,,25283,,24102,,27376.91,,30246.81,,40557.23,,31840.55,,20896.16,,20808.54,E
Bahamas,All,Reexports,Value (USD 1000),USD (1000),56,,0,...,0,...,0,...,0,...,174,,29,,0,...,1,,0,...,74,,438,,731,,0,...,0,...,443,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,40,,4,,0,N,177,,3,,22,,86,,170,,1069,,0,N,39,,0,N,27,,26,,0,...,26,,0,...,0,...,0,...,0,...,0,...,0,...
Bahrain,All,Exports,Value (USD 1000),USD (1000),2253,,2280,,232,,0,...,11,,8,,3,,0,...,0,...,0,...,989,,2254,,1929,,2288,E,3170,,3264,,2655,,3768,,4445,,6192,,9652,,14283,,8753,,6925,,9559,,9913,,11832,,11528,,14024,,13026,,12568,,15600,,18820,,16238,,14293,,20874,,24786,,23074,,23570,,27366,,27189,,38922,,62705,,107414.05,,77600.17,,50080.58,
Bahrain,All,Imports,Value (USD 1000),USD (1000),859,,1597,,1309,,1066,,1866,,2787,,2543,,3562,,3241,,3774,,3510,,3058,,3173,,3327,E,3704,,5034,,4600,,5506,,5470,,6368,,4996,,4825,,4216,,3203,,4733,,6629,,9653,,6909,,6956,,10944,,8279,,9052,,17107,,14431,,16530,,21213,,31348,,27203,,37825,,38473,,45922,,47367,,72564,,93317.65,,77408.62,,53181.36,
